TCP/HTTP, [200], [jQuery][JAVA], http://jxjy.wtu.edu.cn/, [武汉纺织大学继续教育学院]
TCP/HTTP, [403], , http://jxcg.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://sfzx.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [Bootstrap][JAVA][jQuery], http://mks.wtu.edu.cn/, [马克思主义学院]
TCP/HTTP, [403], , http://hqc.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://ma.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://lib.wtu.edu.cn/, [武汉纺织大学图书馆]
TCP/HTTP, [502], [none], http://sam.wtu.edu.cn/, [访问出错 - 502]
TCP/HTTP, [200], [jQuery][JAVA], http://rsc.wtu.edu.cn/, [党委教师工作部人事处]
TCP/HTTP, [200], [jQuery][JAVA], http://jwc.wtu.edu.cn/, [武汉纺织大学教务处]
TCP/HTTP, [200], [jQuery][JAVA], http://me.wtu.edu.cn/, [武汉纺织大学机械工程与自动化学院]
TCP/HTTP, [403], , http://keylabnt.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://jjc.wtu.edu.cn/, [武纺基建处]
TCP/HTTP, [403], , http://sites.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://hvt.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://gs.wtu.edu.cn/, [武汉纺织大学研究生院、研究生工作部]
TCP/HTTP, [403], , http://shpg.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://rsgl.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://kyc.wtu.edu.cn/, [武汉纺织大学科学技术发展院]
TCP/HTTP, [200], [jQuery][JAVA], http://welcome.wtu.edu.cn/, [武汉纺织大学迎新网]
TCP/HTTP, [403], , http://strz.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://sz.wtu.edu.cn/, [武汉纺织大学思政网]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://te.wtu.edu.cn/, [武汉纺织大学 纺织科学与工程学院]
TLS/HTTPS, [200], [nginx], https://yw.wtu.edu.cn/, [None]
TLS/HTTPS, [200], [jQuery][JAVA], https://cyxy.wtu.edu.cn/, [创新创业学院]
TLS/HTTPS, [200], [openresty][jQuery][Bootstrap][JSP][layer.js][JAVA], https://rszp.wtu.edu.cn/, [人才招聘]
TLS/HTTPS, [302], [none], https://zcgl.wtu.edu.cn/, [None]
TLS/HTTPS, [403], [none], https://ddzxcgl.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [openresty], https://gateway.wtu.edu.cn/, [404]
TLS/HTTPS, [200], [jQuery][JAVA], https://mse.wtu.edu.cn/, [武汉纺织大学材料科学与工程学院]
TLS/HTTPS, [200], [none], https://tcsf.wtu.edu.cn/, [智慧后勤]
TLS/HTTPS, [403], , https://hard.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://dhcp.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://allwww.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://baoxian.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://119.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [jQuery][JAVA], https://gjc.wtu.edu.cn/, [武汉纺织大学国际交流处]
TLS/HTTPS, [403], , https://001u.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [403], , https://zzc.wtu.edu.cn/, [403 Forbidden]
TLS/HTTPS, [200], [openresty][Microsoft-Exchange], https://i.wtu.edu.cn/, [None]
TLS/HTTPS, [200], [none][jQuery], https://wvpn.wtu.edu.cn/, [统一身份认证]
TLS/HTTPS, [200], [openresty][jQuery][Microsoft-Exchange][JSP], https://auth.wtu.edu.cn/, [统一身份认证]
TLS/HTTPS, [200], [none], https://sso.wtu.edu.cn/, [统一身份认证平台]
TLS/HTTPS, [302], [none], https://sid.wtu.edu.cn/, [None]
TLS/HTTPS, [302], [nginx], https://zypt.wtu.edu.cn/, [None]
TLS/HTTPS, [502], [none], https://ws1.wtu.edu.cn/, [访问出错 - 502]
TLS/HTTPS, [200], [jQuery][Bootstrap][JAVA], https://csai.wtu.edu.cn/, [武汉纺织大学-计算机与人工智能学院]
TLS/HTTPS, [403], , https://live1.wtu.edu.cn/, [403 Forbidden]
